Name,What,Region,Country,Lat,Long,Elev ft.,Pop est
Arikadi,city,Kerala,India,12.61,74.94,65,38851
Arikkulam,city,Kerala,India,11.49,75.72,118,129123
Arikkad,city,Kerala,India,10.94,75.93,26,201787
Aril,city,Kerala,India,12.01,75.34,170,48090
Arimanal,city,Kerala,India,11.16,76.34,305,65959
Aringula,city,Kerala,India,12.75,74.91,32,62030
Ariyapadi,city,Kerala,India,12.49,75.1,137,54243
Arjyal,city,Kerala,India,11.79,75.84,2509,41349
Aroli,city,Kerala,India,11.95,75.36,3,35916
Arthikodel,city,Kerala,India,12.62,75.2,347,42844
Arthya,city,Kerala,India,12.53,75.23,347,51903
Arukizhaya,city,Kerala,India,11.1,76.14,141,97960
Arukutti,city,Kerala,India,9.87,76.35,6,84471
Arumalaivayal,city,Kerala,India,11.78,75.84,2509,43387
Aryakochi,city,Kerala,India,12.47,75.12,134,53044
Arikkod,city,Kerala,India,11.23,76.05,104,61168
Arur,city,Kerala,India,11.65,75.69,255,138918
Athalur,city,Kerala,India,10.83,75.98,6,221897
Athirssheri,city,Kerala,India,10.97,75.96,72,186955
Attadappa,city,Kerala,India,11.86,75.44,196,31976
Attancheri,city,Kerala,India,11.9,75.77,830,40948
Attapady,city,Kerala,India,11.07,76.56,1912,25777
Attappadi,city,Kerala,India,11.07,76.56,1912,25777
Attingal,city,Kerala,India,8.69,76.82,55,212413
Attiyode,city,Kerala,India,11.53,75.84,830,119243
Attungal,city,Kerala,India,8.69,76.82,55,212413
Auchampitika,city,Kerala,India,11.76,75.94,2509,38072
Aulapolai,city,Kerala,India,9.49,76.33,6,130822
Avala,city,Kerala,India,11.59,75.7,111,115040
Avidanallur,city,Kerala,India,11.49,75.82,311,118985
Avilora,city,Kerala,India,11.38,75.91,229,10280
Avitanallur,city,Kerala,India,11.49,75.82,311,118985
Ayambare,city,Kerala,India,12.43,75.09,219,53051
Ayankadavu,city,Kerala,India,12.44,75.09,121,53044
Ayankalam,city,Kerala,India,10.84,76,13,203369
Ayilakkad,city,Kerala,India,10.77,75.99,3,218950
Ayinikkad,city,Kerala,India,11.54,75.61,3,87991
Ayipur,city,Kerala,India,11.98,75.54,85,70620
Ayirur,city,Kerala,India,10.7,75.97,9,61305
Ayirani,city,Kerala,India,10.93,75.98,154,182707
Ayirur,city,Kerala,India,10.69,75.96,3,61305
Ayyaya,city,Kerala,India,10.96,75.92,9,194150
Ayur,city,Kerala,India,8.88,76.88,223,77519
Azhikal,city,Kerala,India,11.92,75.35,9,26579
Azhikkal,city,Kerala,India,11.92,75.35,9,26579
Azhikkal,city,Kerala,India,9.97,76.25,13,116610
Azhikkod,city,Kerala,India,11.92,75.34,6,25471
Azhikod,city,Kerala,India,11.92,75.34,6,25471
Azhikode,city,Kerala,India,10.2,76.17,6,78828
Azhikode,city,Kerala,India,11.92,75.34,6,25471
Azhiyur,city,Kerala,India,11.69,75.56,6,118703
Azhiyur,city,Kerala,India,11.68,75.56,13,108109
Babayanamule,city,Kerala,India,12.54,75.24,830,50017
Bachuvalike,city,Kerala,India,12.75,74.9,22,75246
Badagara,city,Kerala,India,11.58,75.59,26,116786
Badagara,city,Kerala,India,11.6,75.58,49,100734
Badiadka,city,Kerala,India,12.59,75.08,314,53044
Badiadke,city,Kerala,India,12.51,75.05,249,69575
Badkekad,city,Kerala,India,12.18,75.14,65,36369
Badur,city,Kerala,India,12.65,75.04,236,53862
Badaje,city,Kerala,India,12.72,74.91,127,47299
Baimba,city,Kerala,India,12.38,75.18,830,55029
Baja,city,Kerala,India,12.61,75.18,370,46532
Baje,city,Kerala,India,12.49,75.14,830,53044
Balal,city,Kerala,India,12.38,75.28,308,58598
Balalkunnu,city,Kerala,India,12.36,75.28,298,58748
Balambat,city,Kerala,India,12.62,75.09,334,53114
Balangai,city,Kerala,India,12.52,75.22,387,53043
Balaramapuram,city,Kerala,India,8.42,77.04,131,232016
Balarampuram,city,Kerala,India,8.42,77.04,131,232016
Balatt,city,Kerala,India,12.17,75.47,337,65304
Balatt Dev,city,Kerala,India,12.17,75.49,830,65302
Balavantadka,city,Kerala,India,12.53,75.19,305,53043
Baliapatam,city,Kerala,India,11.92,75.35,9,26579
Balka,city,Kerala,India,12.53,75.17,259,53044
Balla,city,Kerala,India,12.31,75.08,68,60121
Ballakar,city,Kerala,India,12.54,75.25,872,47687
Ballarakaje,city,Kerala,India,12.52,75.21,278,53044
Ballarchang,city,Kerala,India,11.82,75.85,2509,38433
Balla,city,Kerala,India,12.32,75.1,114,75366
Banath,city,Kerala,India,12.35,75.24,830,58562
Bandadka,city,Kerala,India,12.48,75.27,830,52204
Bandadka,city,Kerala,India,12.48,75.24,830,53295
Bangad,city,Kerala,India,12.44,75.09,285,53044
Bangramanjeshvara,city,Kerala,India,12.71,74.89,9,38060
Bannatikan,city,Kerala,India,12.44,75.17,305,53044
Barikala,city,Kerala,India,12.33,75.26,830,58751
Barikala,city,Kerala,India,12.47,75.1,390,53044
Barkolu,city,Kerala,India,12.53,75.14,830,53044
Basanagundi,city,Kerala,India,12.51,75.28,416,45908
Battela,city,Kerala,India,12.76,74.94,249,63896
Batur,city,Kerala,India,12.37,75.14,278,60601
Bavadka,city,Kerala,India,12.43,75.17,249,53107
Bavadka,city,Kerala,India,12.45,75.2,830,53224
Bavathu,city,Kerala,India,11.87,75.5,75,38515
Bayar,city,Kerala,India,12.69,75.02,206,55307
Bayavalap,city,Kerala,India,12.44,75.24,255,54918
Bedadka,city,Kerala,India,12.56,74.98,78,64674
Bedadka,city,Kerala,India,12.46,75.16,830,53044
